unit,NISP_9,Monodonta,Patella,Murex,Cerithium,Cerastoderma,Tapes,Columbella,Donax,Cyclope,NISP,Trench
176,24,25,62.5,0,12.5,0,0,0,0,0,24,H1A
177,7,14.3,85.7,0,0,0,0,0,0,0,7,H1A
178,5,40,60,0,0,0,0,0,0,0,5,H1A
179,17,23.5,76.5,0,0,0,0,0,0,0,17,H1A
180,65,7.7,81.5,1.5,9.3,0,0,0,0,0,65,H1A
181,75,2.7,85.3,4,8,0,0,0,0,0,75,H1A
103,2,0,0,50,50,0,0,0,0,0,2,H1B
104,20,0,5,5,40,0,0,10,0,40,20,H1B
105,20,5,10,0,20,0,5,15,0,45,20,H1B
106,84,0,10.7,1.1,25,0,0,11.9,0,51.3,84,H1B
107,43,2.3,7,4.7,23.3,0,0,7,0,55.7,43,H1B
108,93,1.1,7.5,0,32.3,0,0,4.3,0,54.8,93,H1B
109,90,0,4.4,1.1,33.4,1.1,2.2,0,0,57.8,90,H1B
110,56,8.9,1.7,3.6,35.7,1.8,0,1.8,0,46.5,63,H1B
111,45,2.2,4.4,4.4,48.9,0,2.2,6.7,0,31.2,47,H1B
112,41,0,4.9,2.4,48.8,0,0,4.9,0,39,46,H1B
113,41,0,0,0,68.3,0,0,2.4,0,29.3,44,H1B
114,35,0,8.6,2.9,42.8,5.7,0,8.6,0,31.4,35,H1B
115,77,0,7.8,2.6,39,0,0,3.9,0,46.7,84,H1B
116,217,0.4,1.9,3,52.2,1.5,0,2.3,0.7,38,266,H1B
117,65,0,0,1.5,23.2,1.5,0,4.6,0,69.2,66,H1B
118,47,0,0,4.3,8.4,0,0,6.4,0,80.9,49,H1B
119,7,0,0,0,0,0,0,14.3,0,85.7,7,H1B
120,63,1.6,1.6,4.8,25.4,0,0,6.4,0,60.2,67,H1B
121,66,0,3,0,25.8,0,0,3,0,68.2,69,H1B
122,97,0,2.1,2.1,11.3,0,0,3.1,0,81.4,103,H1B
123,148,0,5.4,0.7,8.1,0,0,4.1,0,81.7,188,H1B
124,220,0,1.4,0.9,9.6,0,0,1.8,0,86.3,224,H1B
125,17,0,5.9,0,11.8,0,0,0,0,82.3,17,H1B
126,16,0,0,0,31.3,0,0,0,0,68.7,16,H1B
127,160,0,0.6,1.2,23.2,0.6,0,0.6,0,73.8,160,H1B
128,157,0,0,5.7,24.8,1.3,0,2.6,0,65.6,159,H1B
129,122,0,0,4.8,38.7,1.6,0,0,0,54.9,124,H1B
130,198,0,0,5.9,47,3,0,0.5,0,43.6,202,H1B
131,1,0,0,0,0,0,0,0,0,100,1,H1B
132,145,0,2.1,11.7,38.6,5.5,0.7,0.7,0,40.7,146,H1B
133,115,0,0.8,6.7,30.3,4.2,0,0,0,58,119,H1B
134,155,0,0.5,8,26.4,10,0,0,0,55.1,201,H1B
135,184,0.4,0.4,5.1,31.5,11.3,0,0.4,0,50.1,257,H1B
136,63,0,1.6,1.6,14.3,14.3,1.6,0,0,66.7,67,H1B
137,54,0,4.8,0,14.3,22.2,0,0,0,58.7,63,H1B
138,123,0,5.7,1.6,13.8,12.2,0,0,0.8,65.9,124,H1B
139,93,1.1,3.2,2.1,9.6,6.4,0,1.1,0,76.5,94,H1B
140,8,0,0,0,11.1,0,0,11.1,0,77.8,9,H1B
141,91,0,2.2,1.1,7.7,6.6,0,0,0,82.4,97,H1B
142,372,0.3,1.6,1.1,64,3.8,0,1.1,0,28.1,374,H1B
143,59,1.7,0,6.8,6.8,3.6,0,1.7,0,79.4,60,H1B
144,170,0,2.3,0,7.7,0.6,0,0.6,0,88.8,178,H1B
145,102,0,2,0,17.7,0,0,1,0,79.3,103,H1B
146,16,0,0,0,0,0,0,0,0,100,16,H1B
147,204,0.5,2,0.5,11.3,3.9,0,0,0,81.8,207,H1B
148,32,3.1,0,0,0,0,0,3.1,0,93.8,33,H1B
149,22,9.1,4.6,0,0,4.6,0,0,0,81.7,22,H1B
150,62,1.6,1.6,1.6,9.7,0,0,0,0,85.5,68,H1B
151,20,0,15,0,30,0,0,0,0,55,20,H1B
152,2,50,0,0,50,0,0,0,0,0,4,H1B
153,159,23.1,30,0.6,40,0,0,1.3,0,5,160,H1B
154,103,32.1,33.9,0,16.5,0.9,0,0.9,0,15.7,109,H1B
155,100,17,29,2,18,0,0,3,0,31,105,H1B
156,153,5.3,37.9,2.6,21.6,0,0,1.3,0,31.3,153,H1B
157,116,3.5,54.3,0.9,24.1,0,0,2.6,0,14.6,117,H1B
158,42,0,35.7,7.1,7.1,2.4,0,2,0,45.3,44,H1B
159,40,7.5,37.5,2.5,7.5,2.5,0,2.5,0,40,40,H1B
160,39,12.8,46.2,0,0,0,0,0,0,41,39,H1B
161,4,0,75,0,0,0,0,0,0,25,4,H1B
1,12,0,8.3,0,0,75,8.3,8.4,0,0,14,L5
2,3,0,0,0,100,0,0,0,0,0,3,L5
3,4,0,0,0,25,50,25,0,0,0,4,L5
4,107,5.6,3.7,12.2,34.5,14.1,17.8,1.9,9.3,0.9,114,L5
5,22,9.1,0,0,9.1,40.9,13.6,0,22.7,4.6,22,L5
6,12,0,0,8.3,8.3,33.4,0,0,50,0,12,L5
7,10,10,0,0,0,70,0,0,10,10,11,L5
8,25,0,0,4,20,44,8,0,24,0,26,L5
9,5,0,0,20,0,60,20,0,0,0,5,L5
10,80,3.8,1.2,5,12.5,33.7,3.8,3.7,33.8,2.5,82,L5
11,11,0,0,0,9.1,54.5,27.3,0,9.1,0,11,L5
12,31,3.2,0,6.5,6.5,51.5,3.2,6.5,22.6,0,32,L5
13,39,33.3,0,0,5.1,18,2.6,2.6,38.4,0,41,L5
14,13,53.9,0,7.7,0,0,7.7,0,30.7,0,13,L5
15,26,7.7,0,0,0,53.9,19.2,0,19.2,0,29,L5
16,90,4.4,3.3,15.6,16.7,26.7,8.9,1.1,21.1,2.2,93,L5
17,181,0.6,0.6,2.7,6.1,66.9,5.5,2.2,13.8,1.6,184,L5
18,97,0,0,5.1,9.3,66.1,1,1,13.4,4.1,103,L5
19,91,4.4,2.2,6.6,17.5,33,7.7,3.3,16.5,8.8,94,L5
20,86,2.3,4.7,4.7,10.5,32.5,7,2.3,24.4,11.6,91,L5
21,53,3.8,3.8,7.6,0,28.2,17,3.8,24.5,11.3,59,L5
22,47,49,0,0,4.3,0,10.6,0,36.1,0,48,L5
23,187,2.1,4.3,5.9,17.1,30.6,12.3,3.7,17.1,6.9,197,L5
24,191,3.1,2.1,7.3,19.9,15.7,7.9,4.2,32.5,7.3,199,L5
25,125,0.8,2.4,1.6,19.2,21.6,6.4,10.4,36,1.6,133,L5
26,,0,1.8,5.4,27.9,23.9,5.4,6.3,23.9,5.4,115,L5
27,166,1.8,1.2,8.4,25.9,21.8,3,2.4,29.5,6,171,L5
28,136,4.4,1.5,4.4,21.3,28.7,16.2,5.9,15.4,2.2,141,L5
29,154,0.7,0,2.6,22.7,26.6,9.7,4.6,30.5,2.6,159,L5
30,125,4,4,5.6,28.8,16.8,7.2,4,28.8,0.8,126,L5
31,10,0,0,0,10,40,0,0,50,0,10,L5
32,60,1.7,3.3,0,41.7,18.3,10,3.3,20,1.7,64,L5
33,125,4.8,1.6,5.6,32.8,21.6,16.8,2.4,9.6,4.8,128,L5
34,113,3.5,1.8,4.4,28.3,28.4,10.6,7.1,13.3,2.6,123,L5
35,161,2.5,0.6,1.2,16.8,19.2,14.9,4.4,37.3,3.1,166,L5
36,168,1.2,0,0.6,20.8,27.3,19.1,4.8,23.2,3,170,L5
37,207,4.4,1,1.9,23.2,31.2,17.9,7.2,8.7,1.5,213,L5
38,180,3.9,1.1,2.8,17.8,31,15,3.9,12.8,11.7,182,L5
39,103,5.8,0,1.9,12.6,31.1,11.7,5.8,12.6,15.5,109,L5
40,175,1.7,1.1,2.3,21.1,10.1,12,10.3,10.3,1.1,180,L5
41,199,4,0,2,28.1,29.6,14.1,8,12.7,1.5,206,L5
42,128,0.8,5.5,2.3,28.9,32,9.4,7,13.3,0.8,139,L5
43,62,0,3.2,3.2,38.7,21,12.9,6.5,12.9,1.6,67,L5
44,76,1.3,3.9,1.3,34.2,35.6,6.6,1.3,14.5,1.3,77,L5
45,52,1.9,1.9,1.9,23.1,63.5,1.9,1.9,3.9,0,55,L5
46,65,0,0,0,10.8,67.6,13.9,3.1,3.1,1.5,65,L5
47,18,0,5.6,0,16.6,50,16.6,5.6,5.6,0,19,L5
48,11,0,0,0,9,45.5,45.5,0,0,0,13,L5
49,12,0,0,8.3,0,83.4,0,8.3,0,0,12,L5
50,34,2.9,0,0,2.9,79.4,9,2.9,0,2.9,34,L5
51,2,0,0,0,0,100,0,0,0,0,3,L5
52,1,0,0,0,0,100,0,0,0,0,1,L5
53,1,0,0,0,0,100,0,0,0,0,1,L5
55,408,71.8,0.3,1.2,14,0.5,2.9,1.7,7.1,0.5,416,L5
56,444,83.7,0.5,1.1,4.3,0.9,3.2,0.5,5.6,0.2,451,L5
57,9,66.7,0,0,22.2,0,0,0,11.1,0,10,L5
58,109,75.2,2.8,0,1.8,0.9,9.2,0.9,9.2,0,115,L5
59,10,50,0,0,0,0,30,0,20,0,13,L5
60,155,61.1,0.7,0,11,6.5,5.8,2.6,12.3,0,185,L5
61,105,38.2,1.9,3.8,3.8,9.5,8.6,0.9,31.4,1.9,159,L5
62,161,20.5,0.6,7.5,17.3,11.2,16.2,5,18,3.7,167,L5
63,15,60,0,0,20,0,6.7,0,13.3,0,53,L5
64,25,56,0,0,4,0,20,0,20,0,134,L5
65,6,66.6,0,0,16.7,0,16.7,0,0,0,63,L5
66,6,16.7,0,0,0,0,66.6,0,16.7,0,76,L5
67,8,50,0,0,12.5,0,25,0,12.5,0,139,L5
68,50,2,0,8,26,22,4,14,22,2,87,L5
69,45,6.7,6.7,4.4,31.1,13.3,13.3,6.7,17.8,0,46,L5
70,18,16.7,0,16.7,5.6,22.1,5.7,22.1,11.1,0,19,L5
71,42,7.1,2.4,4.8,23.8,19,16.7,7.1,14.3,4.8,44,L5
72,37,2.7,2.7,10.8,18.9,16.2,18.9,8.2,16.2,5.4,39,L5
73,30,6.7,3.3,3.3,30,6.7,20,10,20,0,31,L5
74,41,0,4.9,7.3,19.5,14.6,12.2,0,36.6,4.9,46,L5
75,40,0,10,12.5,15,10,25,5,17.5,5,42,L5
76,34,2.9,5.9,8.8,8.8,17.7,20.6,0,32.4,2.9,36,L5
77,39,5.1,0,2.6,12.8,28.1,7.7,12.8,28.2,2.7,39,L5
78,61,3.3,1.6,4.9,14.8,22.9,14.8,1.6,34.5,1.6,67,L5
79,47,0,0,14.9,21.3,21.2,10.6,6.4,21.3,4.3,52,L5
80,58,0,6.9,1.7,19,20.7,22.4,5.2,15.5,8.6,59,L5
81,112,0.9,0,2.7,7.1,14.3,13.4,0,58.9,2.7,114,L5
82,20,0,0,0,35,10,10,5,35,5,21,L5
83,6,0,0,0,0,33.3,33.3,0,33.4,0,7,L5
84,17,5.9,5.9,5.9,23.5,47,5.9,0,0,5.9,18,L5
85,8,87.5,0,0,12.5,0,0,0,0,0,8,L5
86,54,63,0,0,9.1,7.4,13,1.9,5.6,0,55,L5
87,108,30.6,1.8,3.7,10.2,2.8,23.1,1.9,25,0.9,111,L5
88,82,23.2,2.4,4.9,19.5,14.6,14.6,3.7,17.1,0,83,L5
89,40,2.5,0,7.5,22.5,35,10,5,15,2.5,42,L5
90,20,35,5,0,5,15,15,5,15,5,20,L5
91,9,11.1,22.2,0,11.2,0,11.1,11.1,22.2,11.1,10,L5
92,7,0,0,0,28.6,14.3,0,14.3,14.3,28.5,7,L5
93,24,0,8.3,0,20.8,16.7,4.2,0,50,0,25,L5
94,29,3.4,3.4,0,20.7,31,3.5,3.5,31,3.5,30,L5
95,26,80.7,0,0,7.7,0,7.7,0,3.9,0,27,L5
96,64,93.7,0,0,1.6,1.6,0,0,3.1,0,64,L5
97,1,100,0,0,0,0,0,0,0,0,1,L5
98,16,6.3,6.3,0,6.3,43.6,25,0,12.5,0,16,L5
99,17,11.8,0,5.9,23.5,11.8,23.5,0,23.5,0,18,L5
100,18,5.6,5.6,5.6,38.7,5.6,22.2,5.6,11.1,0,20,L5
1,2,0,50,0,50,0,0,0,0,0,7,L5NE
2,62,29,3.2,6.5,37.1,8.1,1.6,3.2,11.3,0,66,L5NE
3,58,36.2,8.6,5.2,24.1,1.7,5.2,5.2,13.8,0,66,L5NE
4,11,0,36.3,0,18.2,9.1,9.1,0,27.3,0,11,L5NE
5,10,20,10,20,0,0,30,0,20,0,10,L5NE
6,40,32.5,7.5,5,20,0,15,0,20,0,43,L5NE
7,27,33.4,3.7,3.7,11.1,7.4,7.4,3.7,29.6,0,29,L5NE
8,2,50,0,0,0,0,0,0,50,0,3,L5NE
9,1,0,0,0,100,0,0,0,0,0,1,L5NE
10,5,20,0,0,0,0,20,0,60,0,5,L5NE
11,12,33.3,0,0,16.7,16.7,8.3,8.3,16.7,0,16,L5NE
12,5,20,0,0,40,0,20,0,20,0,5,L5NE
13,43,23.3,2.3,4.7,27.8,2.3,14,2.3,23.3,0,44,L5NE
14,1,100,0,0,0,0,0,0,0,0,1,L5NE
15,21,19,4.7,0,14.3,14.3,47.7,0,0,0,26,L5NE
16,12,41.7,0,0,8.3,0,25,0,25,0,13,L5NE
17,28,3.6,3.6,7.1,17.9,0,46.4,0,21.4,0,31,L5NE
18,33,3,0,3,3,3,72.9,0,12.1,3,34,L5NE
19,39,10.3,0,2.6,5.1,0,66.6,0,12.8,2.6,42,L5NE
20,3,66.7,0,33.3,0,0,0,0,0,0,5,L5NE
21,21,9.5,4.8,4.8,4.8,23.7,38.1,0,14.3,0,23,L5NE
22,22,18.2,4.6,4.6,13.6,9.1,31.7,0,18.2,0,20,L5NE
23,38,13.2,0,2.6,0,7.9,42.1,0,34.2,0,40,L5NE
24,6,0,0,0,33.3,0,16.7,0,50,0,6,L5NE
25,7,14.3,0,0,14.3,0,42.8,0,28.6,0,7,L5NE
26,4,0,0,0,50,0,0,0,50,0,4,L5NE
27,6,16.7,0,0,33.3,0,0,0,50,0,6,L5NE
28,8,12.5,0,0,12.5,12.5,25,0,37.5,0,9,L5NE
29,23,21.7,0,0,4.4,0,47.8,0,26.1,0,25,L5NE
30,45,15.6,4.4,2.2,11.1,40,8.9,0,17.8,0,48,L5NE
31,15,0,6.7,0,0,53.3,13.3,6.7,20,0,16,L5NE
32,1,0,0,0,0,0,0,0,100,0,1,L5NE
33,56,16.1,3.6,1.8,8.9,42.8,0,0,26.8,0,56,L5NE
34,4,25,25,25,0,0,0,0,25,0,4,L5NE
35,46,2.2,2.2,2.2,13,47.7,0,4.4,28.3,0,50,L5NE
36,37,0,2.7,0,13.5,54.1,5.4,0,21.6,2.7,40,L5NE
37,4,25,0,0,25,50,0,0,0,0,4,L5NE
38,90,3.3,4.4,4.4,11.1,50,4.4,1.1,20,1.1,93,L5NE
39,16,0,6.3,0,12.5,56.2,0,0,25,0,18,L5NE
40,83,1.2,9.6,2.4,19.3,54.3,2.4,2.4,8.4,0,90,L5NE
41,3,0,33.3,33.3,33.3,0,0,0,0,0,9,L5NE
42,31,0,0,0,16.1,48.4,19.4,0,16.1,0,33,L5NE
43,66,1.5,4.6,3.3,12.1,51.1,4.6,6.1,15.2,1.5,69,L5NE
44,2,0,0,0,50,50,0,0,0,0,2,L5NE
45,77,2.6,2.6,2.6,13,52,10.4,2.6,14.2,0,77,L5NE
46,12,0,16.7,0,16.7,33.3,16.7,0,8.3,8.3,14,L5NE
47,9,0,0,22.2,22.2,33.4,0,0,22.2,0,9,L5NE
48,111,1.8,9,2.7,19,41.4,9,1.8,13.5,1.8,114,L5NE
49,2,0,0,0,0,0,50,0,50,0,2,L5NE
50,118,2.5,0.9,1.7,25.4,36.4,10.2,4.2,17,1.7,134,L5NE
51,6,16.7,0,16.7,0,50,0,0,16.6,0,6,L5NE
52,139,2.2,4.3,2.2,21.4,41,10.1,3.6,13,2.2,148,L5NE
53,32,0,3.1,3.1,18.8,46.8,6.3,0,6.3,15.6,33,L5NE
54,87,3.5,2.3,3.4,19.5,46.1,0,1.1,24.1,0,95,L5NE
55,48,4.2,4.2,4.2,12.5,60.4,4.2,2.1,6.2,2,50,L5NE
56,79,2.5,5.1,3.8,10.1,41.8,17.7,5,12.7,1.2,80,L5NE
57,166,1.2,3,1.8,27.1,48.3,6.6,3,7.8,1.2,174,L5NE
58,20,0,5,0,5,70,10,0,5,5,21,L5NE
59,84,1.2,3.6,0,19,57.1,10.7,3.6,4.8,0,91,L5NE
60,2,0,0,0,0,100,0,0,0,0,2,L5NE
61,67,6,6,4.5,17.9,47.6,9,6,3,0,71,L5NE
62,20,5,0,5,20,55,0,5,10,0,21,L5NE
63,47,0,4.3,0,6.4,80.8,2.1,2.1,4.3,0,49,L5NE
64,103,1.9,1,1.9,4.9,88.3,1,0,1,0,104,L5NE
65,39,5.1,0,0,0,94.9,0,0,0,0,39,L5NE
66,1,0,0,0,0,100,0,0,0,0,1,L5NE
67,164,0,0,0,1.2,97.6,1.2,0,0,0,164,L5NE
68,13,0,0,0,7.7,92.3,0,0,0,0,13,L5NE
2,72,9.7,2.8,11.1,52.7,6.9,5.6,4.2,5.6,1.4,75,O5
3,114,2.6,5.3,10.5,62.3,4.4,3.5,1.8,9.6,0,119,O5
4,153,3.9,0.7,6.5,52.3,4.6,3.9,4.6,23.5,0,160,O5
5,193,2.6,0,5.2,48.6,1.6,0,3.1,38.9,0,199,O5
6,89,0,1.1,3.4,64,3.4,2.3,5.5,18,2.3,91,O5
7,40,0,5,7.5,65,7.5,0,5,10,0,44,O5
8,28,7.1,10.7,14.3,35.8,21.4,3.6,0,7.1,0,28,O5
9,39,5.1,0,10.3,61.5,7.7,5.1,0,10.3,0,42,O5
10,32,12.5,0,15.6,31.3,15.6,15.6,0,9.4,0,37,O5
11,24,4.2,4.2,4.2,25,41.6,12.5,0,8.3,0,25,O5
12,10,0,20,0,0,40,10,0,30,0,11,O5
13,12,0,8.3,6.7,25,33.3,8.3,0,18.4,0,13,O5
14,41,4.9,4.9,12.2,9.8,41.4,9.8,2.4,14.6,0,43,O5
15,10,0,20,20,0,50,0,0,10,0,13,O5
16,41,0,4.9,17.1,9.8,36.6,19.5,0,12.1,0,51,O5
17,8,12.5,0,0,12.5,50,0,0,25,0,10,O5
18,23,4.4,17.4,13,4.4,26.1,21.7,0,13,0,23,O5
19,12,8.3,25,0,0,41.7,8.3,0,16.7,0,12,O5
20,44,2.3,11.4,11.4,9.1,36.2,25,0,2.3,2.3,48,O5
21,19,5.4,0,26.3,0,26.3,26.3,5.3,10.4,0,20,O5
22,7,0,0,0,14.3,42.8,28.6,0,14.3,0,8,O5
23,15,0,6.7,0,6.7,46.6,33.3,0,6.7,0,20,O5
24,30,3.3,13.3,10,0,30,30,0,6.7,6.7,40,O5
25,35,0,5.7,14.3,17.1,31.4,20,0,8.6,2.9,38,O5
26,38,0,10.5,13.2,5.3,47.3,18.4,0,5.3,0,44,O5
27,5,0,0,20,0,40,20,0,20,0,5,O5
28,22,0,4.6,9.1,9.1,68.1,9.1,0,0,0,24,O5
29,12,0,16.7,16.7,16.7,33.2,16.7,0,0,0,13,O5
30,8,0,12.5,12.5,12.5,25,25,0,12.5,0,10,O5
31,44,0,13.6,15.9,6.8,31.8,20.5,2.3,6.8,2.3,47,O5
32,21,0,4.8,9.5,9.5,52.4,9.5,0,9.5,4.8,22,O5
33,16,0,12.5,6.3,12.5,37.5,12.5,0,18.7,0,20,O5
34,20,5,5,0,30,30,10,0,20,0,24,O5
35,11,0,27.3,9.1,9.1,18.2,27.2,0,9.1,0,12,O5
36,12,0,0,8.3,41.7,50,0,0,0,0,17,O5
37,12,0,0,0,16.7,83.3,0,0,0,0,15,O5
38,32,0,15.6,6.3,9.4,37.4,21.9,6.3,3.1,0,34,O5
39,15,0,0,0,0,66.6,6.7,0,26.7,0,17,O5
40,27,0,3.7,18.5,3.7,55.6,11.1,0,7.4,0,28,O5
41,54,0,5.6,11.1,5.6,66.7,7.3,0,3.7,0,64,O5
42,17,0,5.9,0,5.9,64.6,0,0,17.7,5.9,18,O5
43,39,0,2.6,18,5.1,64.1,5.1,0,5.1,0,43,O5
44,56,1.8,12.5,17.9,7.1,44.6,10.7,0,3.6,1.8,57,O5
45,3,0,0,0,0,66.7,33.3,0,0,0,4,O5
46,6,0,16.7,0,16.7,66.6,0,0,0,0,6,O5
47,3,0,0,0,0,66.7,0,0,33.3,0,3,O5
48,8,0,12.5,0,0,87.5,0,0,0,0,8,O5
49,14,0,0,0,21.4,64.3,7.2,0,0,7.1,15,O5
50,13,0,0,7.7,15.4,61.5,7.7,0,0,7.7,14,O5
51,3,0,0,0,33.3,66.7,0,0,0,0,5,O5
53,8,0,0,12.5,12.5,62.5,0,0,12.5,0,8,O5
54,3,0,0,0,0,100,0,0,0,0,3,O5
55,4,0,0,0,0,50,0,0,50,0,5,O5
56,9,0,22.2,0,0,44.5,11.1,0,22.2,0,10,O5
58,10,0,0,10,20,60,0,0,10,0,12,O5
59,20,0,0,0,5,85,0,0,10,0,20,O5
60,3,0,0,0,33.3,66.7,0,0,0,0,3,O5
61,6,16.7,0,0,16.7,66.7,0,0,0,0,7,O5
62,5,0,0,0,20,80,0,0,0,0,5,O5
63,8,0,12.5,0,50,37.5,0,0,0,0,9,O5
65,16,0,0,6.3,43.8,18.7,18.7,0,12.5,0,16,O5
66,8,0,0,0,0,75,0,0,25,0,10,O5
67,6,0,16.7,16.7,16.7,33.2,16.7,0,0,0,7,O5
68,2,0,0,0,0,100,0,0,0,0,3,O5
69,6,0,16.7,0,16.7,50,16.6,0,0,0,7,O5
70,10,0,0,0,50,20,0,0,30,0,11,O5
71,2,0,50,0,0,0,50,0,0,0,2,O5
73,20,0,5,0,50,30,10,0,5,0,22,O5
74,17,0,0,11.8,17.7,47.3,23.2,0,0,0,18,O5
76,7,14.3,0,14.3,0,71.4,0,0,0,0,7,O5
77,16,0,12.5,0,31.3,56.2,0,0,0,0,16,O5
78,51,0,3.9,7.8,13.8,52.9,15.8,0,5.8,0,56,O5
79,5,0,0,0,20,80,0,0,0,0,5,O5
80,88,1.1,2.3,1.1,15.9,64.8,9.1,0,5.7,0,91,O5
