trench,unit,zone,liters,total flot,Adonis sp.,Alkanna sp.,Anchusa sp.,Astragalus frigonella sp.,Avena sp.,Avena sp. frag.,Boraginaceae sp.,Calendula sp.,Capparis sp.,Celtis sp. tournifortii ,cf. Colchicum/polygonatum,Coriandrum sp.,Cruciferae sp. (+seeds + capsules),culm nodes indet. (+frags),Echium sp.,Erodium sp.,Fumaria sp.,Gallium sp.,glume base indet.,Gramineae indet.,Gramineae indet. frags.,Hordeum vulgare ssp.,Hordeum vulgare ssp. Distichum,Hordeum vulgare ssp. Distichum frag.,Hordeum vulgare ssp. spontaneum,Hordeum vulgare ssp. spontaneum frag.,H. vulgare ssp. Distichum rachis (+frags.),indet. frag.,L. officinale,"Lathyrus (S, M, L)","Leguminosae (S, M, L)",Leguminosae frag.,Lens sp.,lens sp. frag.,Liliaceae sp.,Lithospermum arvense (+cf. apulum),Lithospermum arvense frag.,Malva parviflora,Medicago sp.,cf. Medicago frag.,Monocotylidonae (+ capsules),Phalaris sp.,Pistacia cf. lentiscus,Pistacia cf. lentiscus frags.,Pisum cf. elatius,Pisum/Vicia (+Pisum of all sizes),Polygonum sp.,Prunus amygdalus,Prunus amygdalus frag.,Pyrus amygdaloformis,Pyrus amygdaloformis frag.,rachis frag. indet.,Schoenus nigricans,seed indet.,seed indet. frag,sp. no. 1 ,spikelet fork indet. (+frags),Teucrium sp. ,Triticum sp.,T. cf. aestivum/durum,Triticum turgidum ssp. dicoccum (+terminals),Triticum turgidum ssp. dicoccum frag.,T. turgidum ssp. dicoccum spkt. fks.,T. turgidum ssp. dicoccum terminal spikelet forks,T. turgidum ssp. dicoccum glume bases,Triticum monococcum,Triticum monococcum frag.,Triticum monococcum spkt. fks.,Triticum monococcum spikelet fork,Uthospennum dlicinale,Vicia ervilia,Vicia/Lathyrus sp.,Vitis vinifera ssp. sylvestris,Vitis vinifera ssp. sylvestris frag.,Triticum sp. SUM (no frags.),Hordeum vulgare SUM (no frags)
FAN,120,VII,266,92.6,,2,,,,,,,,,,,,,,,,,1,,,,19,,,,,,,,,1,2,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,1,,,,,,,,4,19
FAN,121,VII,266,129.7,,,,,,,,,,,,,1,,,,,,,,4,,4,10,,,,,,,,2,3,,,6,,,,,,,,4,,,,3,,,,,,1,,,1,,,,12,4,,,,,2,,,,,,,,12,4
FAN,122,VII,299,149.9,,2,,,,,,,,,,,1,,,,,,7,,5,,8,20,,,,,,1,,,1,,,19,,,,,,,,,,,,7,,,,1,,,,,6,,,,21,3,41,3,2,19,1,4,,,,,,,90,8
FAN,123,VII,202,180.4,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,1,,1,1,,,,,3,,,,,,,,,,,,13,,,,,,,,,3,,,,5,2,,,,,,,,,,1,,,5,3
FAN,124,VII,29,255.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,10,,,,,,,1,,,,,,5,,,,,,,,,,,,,,5,0
FAN,125,VII,79,44.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,2,,,,4,,1,,,,,,,,,,,,5,0
FAN,126,VII,29,83.5,,,,,,,,,,,,,,,,,,,,,5,,6,,,,2,,,1,,,,,,6,,,,,,,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,6
FAN,127,VII,277,1177.6,,,,,,,,,,,,,,,,,,,,7,,,1,4,,,,1,,1,7,,2,,,4,,,,,,,,,,,,10,,,,,,,,,,,,,2,1,13,,,,,,,,,2,,,15,1
FAN,128,VII,63,107.1,,,,,,,,,,,,,5,,,,,,2,,,,2,,,,,,,,1,,,,,3,,,3,,,,5,,,,,12,,,,,,,,,4,,,,14,,,,,,,,,,,1,,,14,2
FAN,129,VII,266,795.2,,1,,,,,,,,,,,10,,,,,,2,,,,5,13,,,,,,1,4,,11,,,5,,,8,,,,1,,,,,14,,1,,,,,,,4,1,,,31,1,2,,,3,,,,,,5,,,36,5
FAN,130,VII,80,67,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,2,,,4,,,,,,,,,3,,,,,,,,2,2,1,,,1,,,,,,,,,,,,,,1,2
FAN,131,VIIb,465,227.3,,,,,,,,,,,,,4,3,,,,,,,,,8,6,,,3,,,4,14,,2,,,11,,,13,,,,,5,,,,18,,,,,,,,,,,,,7,6,2,,,1,,,1,,,,,,11,8
FAN,132,VIIb,168,185.5,,2,,,,,,,,,,,3,1,,,1,,,,,,24,9,,,,,,,1,,2,,,13,,,13,,,,,,,,,7,,,,,,,,,,,,,3,,,,,1,,,,,,,,,4,24
FAN,133,VIIb,14,77.3,,,,,,,,,,,,,1,1,,,,,,,,,3,,,,,,,,2,,2,,,1,,,,,,,,2,,1,,7,,,,,,,,,,,,,2,,,,,,,,,,,1,,,2,3
FAN,134,VIIb,64,227.5,,,,,,,,,,,,,1,1,,,,,,,,,1,5,,,,,,,,,,,,6,,,6,,,,1,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,1
FAN,135,VIIb,44,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0
FAN,136,VIIb,199,320.1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,3,,,,,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,2
FAN,137,VIIb,166,103.9,1,2,,,,,,,,,,,5,,4,,,,,,,,3,4,,,,,,,1,,1,,,3,,,9,,,,1,5,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,1,,,2,3
FAN,138,VIIa,29,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,139,VIIa,58,5.1,,,,,,,,,,,,,,,,,1,3,,,,,3,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,3
FAN,140,VIIa,73,10.1,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
FAN,141,VIIa,55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAN,142,VIIa,88,22.4,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,4
FAN,143,VIIa,182,8.5,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
FAN,144,VIIa,199,5.2,,,,,,,,,,,,1,,,,,,,,,,,8,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,8
FAN,145,VIIa,75,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAN,146,VIIa,398,15.5,,,,,,,,,,,,,,,,,1,,,,,,18,,,,,,,,3,,37,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,1,,,,3,18
FAN,147,VIIa,31,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAN,148,VIIa,110,3.9,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,17,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2
FAN,149,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,150,VI,249,1.1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAN,151,VI,199,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAN,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,153,,76,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,154,VI,85,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,155,VI,12,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,156,VI,93,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAN,157,,43,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,158,,96,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,159,V/VI,32,1.6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,160,V/VI,70,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,161,V/VI,131,11.3,,1,,,4,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,3,,,,,,,,,,,,,,3,0
FAN,162,V/VI,66,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,6,,,,,,,,,,,,,,6,0
FAN,163,V/VI,299,14.9,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,1,,,,,,,,,,,,,3,0
FAN,164,V/VI,176,17.7,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,165,V/VI,132,8.2,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,166,V/VI,62,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,167,V/VI,132,6.7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,169,V/VI,62,10.2,,1,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,1,3,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,2
FAN,170,V,284,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,171,,22,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,172,V,423,26.4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0
FAN,173,V,107,60.7,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,2,2,,,,,,,,,,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,2
FAN,174,V,42,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,3,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,0,0
FAN,175,V,137,40.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,1,2,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,176,V,210,128.7,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAN,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,178,V,11,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,179,V,88,167,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,1,1,,,,,,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0
FAN,180,V,82,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,181,V,28,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,183,V,24,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0
FAN,184,V,32,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,186,V,196,59.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,187,IV/V,274,138.6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,1,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,188,IV/V,72,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,189,IV/V,83,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,2,,,,,1,,6,6,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,190,IV/V,20,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,191,IV/V,118,90.7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,193,IV/V,42,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,194,IV,34,47.3,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,1,38,,,1,,,,21,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0
FAN,195,IV,32,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,80,,,1,,,,7,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,196,V,173,131.2,,2,,,2,6,,,,,,,,,,,,,,,,,,,1,,,,,,2,,13,,1,107,,1,1,,,,38,,,,,36,,4,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAN,197,III,5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,198,III,211,198.6,2,3,,,134,,,,1,,5,,5,,,1,1,,,,1,,,,,7,,,,1,5,,12,103,18,1,6,,,,,1,140,,1,2,,123,,10,,,,,,,,,,,,,,,,,,,,,,7,,,0,0
FAN,199,III,76,5.6,,,,,7,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,5,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAN,200,III,164,47.4,,,,,41,,,,,,2,,1,,,,,,,,,,,,1,3,,,,,3,,42,,7,,,,,,,,40,,,,,29,,4,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAN,201,III,84,85.9,,,,,74,,,,5,,17,,3,,,,,,,,,,,,,2,,,,,,,71,,17,,,,,,,,201,,,1,,87,,14,,,,,,,,,,,,,,,,,,,,,,2,,,0,0
